,0.0,0.0.1,0.1,0.1.1,0.2,0.2.1,0.30000000000000004,0.30000000000000004.1,0.4,0.4.1,0.5,0.5.1,0.6000000000000001,0.6000000000000001.1,0.7000000000000001,0.7000000000000001.1,0.8,0.8.1,0.9,0.9.1,1.0,1.0.1
gene_3_1,827.0,637.0,762.0,679.0,347.0,851.0,857.0,928.0,895.0,900.0,847.0,1525.0,1235.0,1090.0,1363.0,1449.0,1058.0,1967.0,1848.0,1455.0,1188.0,1923.0
gene_3_2,1637.0,1225.0,1356.0,1473.0,860.0,1588.0,1942.0,1548.0,1512.0,1515.0,1406.0,903.0,1139.0,1973.0,1001.0,1268.0,1340.0,915.0,933.0,1667.0,1002.0,974.0
gene_3_3,152.0,130.0,261.0,340.0,455.0,515.0,686.0,591.0,1044.0,947.0,1039.0,1081.0,1241.0,987.0,1052.0,1110.0,885.0,980.0,637.0,697.0,364.0,450.0
gene_3_4,644.0,734.0,718.0,673.0,637.0,628.0,764.0,742.0,714.0,586.0,707.0,747.0,655.0,627.0,893.0,665.0,604.0,754.0,835.0,719.0,577.0,639.0
gene_3_5,1008.0,1152.0,1470.0,1415.0,1609.0,2771.0,1776.0,1156.0,1366.0,1014.0,833.0,884.0,585.0,619.0,825.0,658.0,694.0,542.0,865.0,1102.0,1010.0,910.0
gene_3_6,1049.0,789.0,1046.0,887.0,1090.0,926.0,1762.0,1353.0,1397.0,1307.0,1002.0,1238.0,1448.0,1213.0,1034.0,871.0,1214.0,839.0,1282.0,1214.0,1189.0,1151.0
gene_3_7,8132.0,5711.0,3817.0,2316.0,1148.0,1879.0,841.0,698.0,509.0,397.0,386.0,315.0,491.0,289.0,434.0,421.0,419.0,444.0,650.0,615.0,1054.0,1114.0
gene_3_8,810.0,687.0,726.0,735.0,480.0,494.0,732.0,512.0,721.0,641.0,417.0,436.0,616.0,443.0,582.0,529.0,605.0,739.0,868.0,609.0,450.0,745.0
gene_3_9,1203.0,1218.0,1047.0,885.0,782.0,970.0,722.0,707.0,644.0,685.0,802.0,676.0,875.0,756.0,1056.0,800.0,1562.0,1311.0,1135.0,1187.0,1128.0,1857.0
gene_3_10,941.0,1020.0,882.0,820.0,798.0,929.0,1067.0,759.0,1065.0,909.0,818.0,605.0,802.0,749.0,1048.0,883.0,1195.0,925.0,901.0,929.0,852.0,836.0
gene_3_11,179.0,150.0,120.0,207.0,268.0,233.0,136.0,238.0,223.0,474.0,289.0,344.0,770.0,510.0,654.0,724.0,1321.0,1102.0,1601.0,1244.0,3790.0,2976.0
gene_3_12,370.0,417.0,381.0,299.0,556.0,294.0,399.0,291.0,295.0,635.0,242.0,337.0,352.0,274.0,495.0,211.0,293.0,563.0,375.0,738.0,586.0,342.0
gene_3_13,1450.0,1332.0,1388.0,1360.0,1163.0,1056.0,1213.0,1114.0,1250.0,1010.0,855.0,845.0,845.0,812.0,764.0,595.0,832.0,881.0,903.0,719.0,740.0,701.0
gene_3_14,836.0,815.0,784.0,1006.0,1122.0,858.0,1051.0,769.0,872.0,944.0,1164.0,1009.0,1170.0,1114.0,922.0,932.0,1054.0,1068.0,855.0,922.0,921.0,921.0
gene_3_15,3552.0,2846.0,3913.0,4233.0,7477.0,4056.0,9089.0,10051.0,7514.0,4449.0,8470.0,8051.0,8084.0,6264.0,5088.0,3154.0,5128.0,2213.0,3135.0,2233.0,1744.0,1050.0
gene_3_16,4661.0,4602.0,4810.0,6921.0,7233.0,6486.0,4019.0,2833.0,7168.0,6097.0,4421.0,5189.0,5496.0,4680.0,5489.0,4934.0,4094.0,7999.0,4414.0,3820.0,6149.0,4641.0
gene_3_17,1247.0,1182.0,1304.0,1637.0,954.0,1168.0,1009.0,1374.0,643.0,698.0,632.0,877.0,288.0,806.0,611.0,741.0,775.0,506.0,511.0,385.0,680.0,554.0
gene_3_18,973.0,480.0,604.0,1027.0,1422.0,653.0,687.0,679.0,637.0,516.0,912.0,1048.0,788.0,406.0,743.0,1506.0,573.0,841.0,1044.0,530.0,928.0,574.0
gene_3_19,2634.0,2134.0,702.0,1111.0,740.0,804.0,355.0,582.0,472.0,286.0,486.0,451.0,691.0,486.0,577.0,574.0,1356.0,1072.0,3553.0,2808.0,8997.0,8241.0
gene_3_20,945.0,847.0,641.0,874.0,584.0,725.0,757.0,744.0,889.0,754.0,703.0,1018.0,495.0,848.0,1056.0,672.0,617.0,877.0,825.0,822.0,1045.0,658.0
gene_3_21,1309.0,1940.0,743.0,1566.0,2260.0,1011.0,2489.0,1821.0,1253.0,1392.0,1546.0,616.0,869.0,580.0,623.0,624.0,811.0,869.0,1052.0,742.0,1357.0,1019.0
gene_3_22,893.0,864.0,1374.0,1140.0,1231.0,1020.0,1342.0,1267.0,951.0,1638.0,2028.0,1552.0,919.0,871.0,1406.0,1240.0,1009.0,1014.0,1625.0,1004.0,1068.0,988.0
gene_3_23,427.0,585.0,744.0,389.0,1554.0,953.0,1385.0,1481.0,2270.0,2799.0,2794.0,3623.0,3861.0,5917.0,4885.0,2986.0,5924.0,6146.0,10010.0,9863.0,5088.0,7688.0
gene_3_24,3652.0,2409.0,2472.0,2845.0,4155.0,2922.0,3321.0,2862.0,2042.0,2983.0,3117.0,2556.0,3908.0,3211.0,3563.0,2838.0,3453.0,2776.0,3264.0,2517.0,2636.0,3416.0
gene_3_25,759.0,825.0,441.0,898.0,610.0,983.0,1008.0,465.0,909.0,511.0,907.0,959.0,447.0,885.0,1188.0,961.0,1639.0,1228.0,897.0,1434.0,1414.0,2174.0
gene_3_26,717.0,964.0,625.0,343.0,710.0,632.0,668.0,1099.0,473.0,729.0,779.0,851.0,920.0,1206.0,752.0,808.0,1032.0,964.0,769.0,552.0,1044.0,594.0
gene_3_27,8327.0,8829.0,4339.0,6848.0,3927.0,3943.0,2066.0,2052.0,2245.0,1186.0,1181.0,882.0,994.0,925.0,644.0,639.0,310.0,362.0,210.0,221.0,145.0,151.0
gene_3_28,949.0,967.0,1074.0,1271.0,1069.0,796.0,917.0,923.0,1033.0,1299.0,1191.0,1343.0,839.0,984.0,900.0,1372.0,1164.0,830.0,874.0,1191.0,1268.0,1195.0
gene_3_29,1354.0,858.0,923.0,1422.0,916.0,972.0,1547.0,1489.0,1724.0,1297.0,1675.0,1644.0,1560.0,1065.0,1855.0,1191.0,2054.0,1859.0,1566.0,1389.0,1342.0,975.0
