,0.0,0.0.1,0.1,0.1.1,0.2,0.2.1,0.3,0.3.1,0.4,0.4.1,0.5,0.5.1,0.6,0.6.1,0.7,0.7.1,0.8,0.8.1,0.9,0.9.1,1.0,1.0.1
gene_1_1,1.8879121444623785,2.54866165906721,2.54866165906721,0.0,1.8879121444623785,1.8879121444623785,2.54866165906721,1.8879121444623785,1.8879121444623785,1.8879121444623785,0.0,2.54866165906721,0.0,1.8879121444623785,3.8743508642524116,1.8879121444623785,1.8879121444623785,3.001488781923484,3.001488781923484,1.8879121444623785,2.54866165906721,3.6340285557738627
gene_1_2,4.082730876446208,1.8879121444623785,2.54866165906721,2.54866165906721,3.8743508642524116,3.3498713549939207,2.54866165906721,3.8743508642524116,1.8879121444623785,0.0,2.54866165906721,2.54866165906721,3.001488781923484,3.001488781923484,1.8879121444623785,1.8879121444623785,3.001488781923484,0.0,3.3498713549939207,3.001488781923484,0.0,1.8879121444623785
gene_1_3,2.54866165906721,2.54866165906721,3.3498713549939207,3.001488781923484,2.54866165906721,4.082730876446208,2.54866165906721,3.001488781923484,1.8879121444623785,1.8879121444623785,1.8879121444623785,1.8879121444623785,3.3498713549939207,0.0,2.54866165906721,0.0,2.54866165906721,1.8879121444623785,0.0,3.001488781923484,2.54866165906721,2.54866165906721
gene_1_4,3.6340285557738627,3.001488781923484,3.6340285557738627,2.54866165906721,1.8879121444623785,0.0,0.0,2.54866165906721,1.8879121444623785,1.8879121444623785,0.0,0.0,1.8879121444623785,2.54866165906721,2.54866165906721,3.001488781923484,1.8879121444623785,3.6340285557738627,3.3498713549939207,1.8879121444623785,1.8879121444623785,4.082730876446208
gene_1_5,3.6340285557738627,2.54866165906721,2.54866165906721,1.8879121444623785,3.6340285557738627,3.001488781923484,1.8879121444623785,2.54866165906721,2.54866165906721,3.001488781923484,2.54866165906721,2.54866165906721,2.54866165906721,3.001488781923484,0.0,2.54866165906721,1.8879121444623785,0.0,1.8879121444623785,1.8879121444623785,1.8879121444623785,1.8879121444623785
gene_1_6,1.8879121444623785,1.8879121444623785,3.001488781923484,3.8743508642524116,2.54866165906721,3.6340285557738627,2.54866165906721,1.8879121444623785,1.8879121444623785,3.001488781923484,2.54866165906721,1.8879121444623785,3.001488781923484,2.54866165906721,3.001488781923484,0.0,1.8879121444623785,3.001488781923484,0.0,1.8879121444623785,1.8879121444623785,3.3498713549939207
gene_1_7,3.001488781923484,0.0,1.8879121444623785,0.0,3.3498713549939207,2.54866165906721,1.8879121444623785,2.54866165906721,0.0,1.8879121444623785,1.8879121444623785,1.8879121444623785,1.8879121444623785,1.8879121444623785,1.8879121444623785,2.54866165906721,2.54866165906721,1.8879121444623785,2.54866165906721,1.8879121444623785,0.0,0.0
gene_1_8,2.54866165906721,2.54866165906721,1.8879121444623785,2.54866165906721,0.0,0.0,1.8879121444623785,1.8879121444623785,1.8879121444623785,1.8879121444623785,3.001488781923484,2.54866165906721,2.54866165906721,2.54866165906721,2.54866165906721,0.0,0.0,0.0,2.54866165906721,3.001488781923484,1.8879121444623785,0.0
gene_1_9,1.8879121444623785,2.54866165906721,3.001488781923484,3.001488781923484,2.54866165906721,2.54866165906721,3.6340285557738627,4.4315605435393985,2.54866165906721,3.001488781923484,2.54866165906721,2.54866165906721,2.54866165906721,2.54866165906721,2.54866165906721,1.8879121444623785,0.0,0.0,0.0,2.54866165906721,1.8879121444623785,2.54866165906721
gene_1_10,0.0,1.8879121444623785,1.8879121444623785,3.6340285557738627,3.001488781923484,2.54866165906721,3.8743508642524116,3.001488781923484,1.8879121444623785,3.3498713549939207,1.8879121444623785,3.001488781923484,3.001488781923484,2.54866165906721,3.3498713549939207,2.54866165906721,3.3498713549939207,3.001488781923484,2.54866165906721,3.8743508642524116,1.8879121444623785,3.3498713549939207
