,Glul,Sparcl1,Calm2,Cpe,Snap25,Ndrg4,Eef1a1,Ckb,Gng13,S100a5,Trak2,Omp,Kif5b,Sash1,Scd1,Mcf2l,Igfbp5,Nr2f2,Vtn,Frzb,Sorbs1,Timp3,Lpar1,Atf5,Npy,Sez6,Ccnd1,Tubb2b,Mest,Fmo1,Vim,Ahnak,Ptn,Id3,Baiap2,Ahcyl2,Kcnh3,Nudt4,Cldn5,Gja1,Igfbp7,Hmgcs2,Rgcc,Igf1,Gpt2,Foxd3,Unc13c,Prdx6,Rbfox3,Pmepa1,2310022B05Rik,Igfbp4,Psd,Dcn,Sh3pxd2a,Agt,Epas1,Gprin1,Ablim3,Aqp4,Bpifb9b,Mfap3l,Msi2,S100b,Ppfia1,Col1a1,Kcnj10,Plekhb1,Lrrc58,Icam5,Slc7a11,Ctxn1,B2m,Tmem132b,Gm13889,Plp1,Bpifb9a,Bgn,Phgdh,Hey2,Aspa,Prdx1,Igfbp2,Psat1,Cebpd,Gsn,Atp1a2,Abl2,Ifitm3,Kcnj4,Clca1,Cav1,Ccnd2,Slc4a4,Myo5a,Plce1,Rcn2,Bai2,Sox10,Necab2,Tax1bp3,Dpf1,Edil3,Nrep,Vstm4,Igf2,Rcn1,Wls,Camk2a,Prss23,2010300C02Rik,Trnp1,Tspan15,Tbc1d9b,Heyl,Pik3r1,Hbb-b2,Nnat,Fyco1,Ifi27l1,Mmd2,Tyro3,Fam163b,Fxyd6,Dab2ip,Lmo4,Fmnl2,Arpc1b,Bmp7,Aebp1,Limd2,S100a16,Slc13a4,Cnn3,Plekha4,Dcx,Yap1,Itm2a,Lamc1,Mdk,Dnajc6,Shisa9,Aldh1a1,Tnfrsf19,Srebf1,Slc17a7,Grasp,Rgs12,Eomes,Usp54,Shisa2,AI593442,Mt2,Zdhhc2,Cyp2j6,Kalrn,Camk4,Tshz2,Mapk8ip1,Ly6c1,Gm20594,Nfia,Col1a2,Akap12,Trh,Bag3,Fam131b,Ppp3ca,Rab3b,Arhgap33,Dtx4,Vat1l,Elovl5,Nmb,Pde5a,Lrp4,Arvcf,Scrib,Ogn,Slc38a3,Iqgap1,Col12a1,Pla2g16,Fam107a,Rasl10b,Thbs2,Phldb2,Foxo1,Tmod2,Col11a1,Sphk1,Bcl11b,Dab2,Serpine2,Camkv,Hlf,Gatm,Sp9,Rhobtb3,Gabrb2,Angptl4,Acbd7,Hadhb,Dlgap3,Fam3c,Efemp1,Aqp1,Cacng3,Syt7,Arhgap5,Prss56,Nppa,Aldh2,Hba-a2,Pip5k1c,Lcat,Desi1,Htra1,Zfp36l1,Snx18,Lrig1,Chl1,Slc35f1,Sox11,Sfrp5,Fam213a,Add2,Celf5,Cpne2,Rprml,Celf3,Cyp2a5,Slc2a1,Cav2,Wipf3,Arx,Serpinf1,Gabra5,Itpr3,Sat1,Ctsd,Igsf3,Spon1,Itga7,Jam2,Col9a2,Adcy2,Serping1,Ypel3,Ncan,Gabrg2,Reln,Alx3,Snn,Matn4,Prex1,Rps29,Ctnna1,Mycn,Islr,Vwa1,Mtss1l,Cdk17,Mrc1,Gria3,Fgfr1,Shisa3,Cald1,Hes5,Plscr4,Gfap,Plat,S100a6,Axl,Grb14,Baalc,Bcar3,Slc13a3,Ppfia2,Col16a1,Gnb2,Vsnl1,Rcan2,Cyp2j9,Pgbd5,Afap1l2,Tuba1c,Dlx1,Zfp36l2,Dclk2,Serpina3n,Adk,Fam212b,Fbln2,Dst,Zfp385a,Fibcd1,Tenm3,Gstm1,Id1,Wnt6,Apold1,Fads1,Cmtm5,Camkk2,Rab40b,Pcp4,Mbp,Vamp2,Atp1b1,Gpm6b,Slc1a2,Gad1,Hspa8,Gm1821,Scd2,Aldoa,Tspan7,Itm2b,Syt1,Hsp90aa1,Tubb2a,Tmsb4x,Atp5b,Atp5a1,Rtn3,Slc1a3,Ldhb,Rplp1,Apc,Nrgn,Cck,Camk2b,Ncdn,Gng4,Gpsm1,Penk,Cpne4,Nrsn1,Atp1a1,Syn1,Nrxn3,Aplp1,Ube2ql1,Grb2,Laptm4a,Dynll1,Sparc,Grin1,Prkca,Doc2g,Hpcal4,Lamp1,Cdhr1,Dbi,Tshz1,Pbx1,Egr1,Gabra1,Stxbp1,Gda,Snap91,Ppm1e,Agap2,Eno2,Sh3gl2,Psd3,Uqcrh,Fkbp1a,C1qtnf4,Rragd,Gapdh,Nat8l,Ctsb,Sncb,Celf1,Nrxn2,Cx3cl1,Mdh2,Dync1i1,Ttyh1,Ppp3r1,Scamp1,Calb2,Cbx6,Ncam1,Fscn1,Eif4a1,Bex2,Atp6v1e1,Kcnd2,Ap2m1,Pebp1,Cdk5r1,Rab3a,Rasgrp1,Abr,Sipa1l1,Rpl3,Ppp3cb,Hnrnph1,Mlf2,Tpt1,Chgb,Stxbp6,Eif5a,Cadm2,Dner,Mef2c,Rasl11b,Ptms,Eef1a2,Ywhaz,Ptpro,Clip3,Ubl3,Ywhaq,Slc32a1,Anks1b,Bin1,Pdhb,E030024N20Rik,Inpp5j,Ppp1cc,Ghitm,Dnm1,Rnf187,Trim9,Stmn1,Ypel5,Pnmal2,Gm5148,Tmsb10,Nap1l5,Slc22a17,Serinc3,Pgam1,Ywhah,Apoe,Fabp7,Apod,Ptgds,Kctd12,Beta-s,Sepp1,Marcks,Meis2,Nsg2,Ppia,Synpr,Tspan3,Dclk1,Mapk1,Dlgap1,Camk2n1,Arf3,Pcp4l1,Eif1,Map2,Cplx1,Mt1,Olfm1,Map2k1,H3f3a,Celf2,Cdr1,Map1b,2900097C17Rik,Purb,Atp2b1,Slc6a11,Aldoc,Gria2,Slc6a1,6330403K07Rik,Qk,Scg2,Cfl1,Meg3,Ywhag,Nptn,Calm3,Ptma,Rtn1,Stmn3,Hnrnpa2b1,Atp5g3,Cox4i1,Cd81
16.92x9.015,69,78,39,83,46,81,50,56,8,3,7,1,9,3,11,12,6,4,6,2,5,6,2,0,5,5,2,1,2,0,3,2,0,3,2,5,3,6,1,6,7,1,1,3,4,0,0,8,6,10,1,0,4,0,0,0,6,2,2,12,0,2,11,6,6,0,13,6,2,2,1,3,13,2,1,9,0,2,1,1,1,11,7,1,4,2,4,1,2,3,0,0,0,5,8,1,9,5,1,1,1,1,2,8,0,0,4,0,1,8,7,8,2,2,0,1,1,2,1,3,5,1,6,7,1,1,8,0,1,0,1,3,1,4,0,3,2,4,3,1,10,7,0,4,4,5,1,1,6,4,1,3,14,0,0,5,1,1,11,3,1,1,1,1,4,0,2,1,6,1,0,2,7,11,1,1,0,2,0,4,3,0,2,1,14,0,0,1,4,0,0,1,0,18,3,5,3,4,0,5,0,0,6,3,7,0,1,2,7,5,4,1,2,0,5,0,4,5,0,2,1,1,0,0,0,4,1,2,0,0,4,0,2,1,2,3,2,1,0,2,10,2,5,0,2,1,2,0,3,6,10,5,0,7,0,6,11,1,0,0,3,3,3,0,2,0,3,0,3,0,8,2,0,1,0,2,0,2,1,1,5,10,2,1,1,1,1,2,1,4,1,2,0,0,5,3,2,2,10,1,0,5,3,0,1,0,21,27,37,51,22,29,16,32,17,43,21,31,49,22,18,34,25,36,36,24,31,29,25,21,4,16,9,5,5,1,10,10,41,7,2,3,15,7,3,13,10,16,2,5,22,3,11,23,16,5,2,2,12,12,12,13,9,9,21,11,13,13,10,5,6,8,3,21,14,4,17,7,8,2,4,3,6,18,7,3,11,7,5,11,8,6,8,4,10,11,7,5,10,4,12,6,9,15,5,9,13,11,11,4,8,13,7,8,3,12,6,8,1,6,9,2,1,12,21,6,10,12,3,5,6,5,9,17,3,8,14,22,105,35,20,40,15,2,31,17,19,14,10,23,39,30,16,20,15,12,19,13,18,15,25,41,16,9,15,4,15,17,15,17,20,17,20,25,19,15,14,12,20,21,28,26,20,20,15,18,22,24,16
16.945x11.075,100,146,91,192,112,144,45,136,4,9,4,5,15,10,16,8,18,3,5,6,6,17,0,0,5,1,1,8,1,1,11,1,1,3,2,15,2,3,1,9,5,1,3,2,0,0,2,10,3,9,3,0,4,1,0,0,11,5,7,8,1,5,7,17,1,1,23,7,17,5,2,8,11,4,11,10,0,2,8,0,2,7,6,0,0,3,17,3,1,5,0,1,0,11,26,4,12,3,1,2,0,5,14,8,1,3,1,3,10,2,3,18,2,1,2,5,0,1,0,1,4,2,5,1,2,5,1,0,0,1,1,3,0,4,0,5,3,12,2,1,17,5,3,1,1,37,0,4,9,2,2,4,14,1,1,2,2,2,12,2,3,3,0,0,1,1,2,3,42,4,0,0,6,13,0,2,1,4,0,20,2,0,2,5,8,2,0,0,17,0,2,2,1,19,11,15,8,6,1,35,0,0,10,4,1,0,0,0,19,3,2,0,4,0,10,4,11,5,1,1,0,2,2,1,0,11,1,9,0,2,4,0,10,2,3,2,1,7,3,1,13,0,2,1,11,2,5,1,9,3,19,27,0,4,0,5,12,3,1,0,1,11,16,0,8,1,17,1,2,0,2,4,0,1,0,7,1,0,7,0,13,12,15,0,9,0,4,1,4,6,0,10,0,0,7,5,0,7,20,1,1,1,11,1,8,1,47,55,58,109,67,60,49,74,57,71,56,54,72,77,87,56,53,82,57,59,34,58,67,30,7,20,19,18,5,14,7,5,24,17,12,20,20,10,12,20,22,20,9,11,56,6,28,64,12,22,8,12,28,39,21,22,31,15,33,24,23,13,23,15,16,22,18,31,19,11,14,14,25,17,20,19,8,31,13,17,7,15,41,40,13,14,22,17,35,37,18,17,8,9,18,13,20,30,19,26,14,15,9,17,4,26,12,8,15,18,18,19,5,13,4,11,17,25,28,32,20,11,27,17,11,10,31,16,12,15,19,40,157,33,36,60,20,13,34,39,27,30,50,25,45,45,41,42,18,29,25,39,41,74,29,66,20,22,34,32,97,57,38,23,41,19,40,16,31,31,62,40,29,59,30,33,32,67,69,36,43,35,26
16.97x10.118,57,92,27,79,36,32,36,44,0,4,1,2,9,6,4,3,6,0,3,0,2,3,1,1,0,0,0,1,0,1,0,0,0,1,1,4,0,5,3,7,0,0,0,0,0,0,0,9,0,1,0,0,3,0,1,0,8,2,0,3,0,2,6,4,0,0,13,3,6,2,3,2,4,0,5,11,0,0,0,1,0,3,1,1,0,3,6,0,3,1,0,0,0,3,6,0,6,1,1,1,1,0,3,2,0,3,0,0,4,1,0,7,0,2,0,1,2,1,1,0,10,2,1,1,1,3,3,1,0,0,2,5,0,2,0,0,0,4,2,0,9,2,0,0,4,5,1,0,6,0,0,2,4,0,0,3,0,3,5,1,0,0,0,0,0,0,2,0,9,3,0,0,0,6,0,3,0,0,0,2,1,0,3,2,9,1,0,2,4,0,0,2,0,13,4,4,8,6,1,16,0,0,1,2,3,0,0,0,4,1,0,0,2,2,3,0,7,4,4,1,1,0,0,1,0,11,3,2,0,1,1,0,5,0,0,2,0,1,0,0,12,1,1,0,6,0,2,1,3,0,4,4,0,1,0,3,2,2,1,0,1,6,4,0,1,2,1,1,0,0,1,1,0,1,0,4,0,2,2,0,1,2,5,2,2,0,0,2,0,0,0,5,0,0,10,1,0,1,10,0,0,0,1,1,0,3,5,28,16,34,27,31,3,24,11,51,15,25,44,7,31,17,21,23,28,14,31,22,21,2,3,29,4,7,2,0,3,4,8,10,5,9,6,0,4,7,5,12,1,3,28,6,12,18,12,2,2,2,8,5,4,8,7,2,5,7,4,6,7,3,1,4,5,17,4,2,6,5,5,4,10,7,6,2,5,2,2,5,10,6,5,1,7,9,6,12,2,6,3,5,6,8,12,11,6,7,3,12,7,2,4,4,6,0,5,7,5,1,10,0,0,5,3,3,4,6,9,6,12,0,3,7,9,4,6,8,9,13,69,14,12,17,4,6,22,8,0,7,21,9,17,5,6,3,18,6,1,7,9,21,17,28,6,9,10,29,15,21,15,2,17,20,13,18,8,14,9,13,14,10,10,23,6,12,16,11,22,10,20
16.939x12.132,70,76,64,80,89,75,55,60,2,4,3,3,9,0,5,4,3,1,4,1,10,7,1,1,5,1,0,4,1,0,1,2,2,1,4,6,5,4,1,10,3,0,3,8,3,1,0,4,9,3,2,1,8,2,0,1,3,5,7,6,0,2,9,6,0,0,13,5,9,5,0,5,5,0,4,6,0,1,2,1,0,8,5,2,0,2,6,5,0,7,0,2,0,6,14,0,15,1,4,2,0,0,3,2,0,4,1,3,4,1,0,9,1,4,2,1,1,2,5,0,11,1,4,0,1,1,1,0,0,3,2,3,0,8,0,3,0,6,2,1,12,5,1,1,0,19,1,1,2,3,0,2,9,0,1,1,1,0,9,1,2,1,1,2,2,0,5,8,16,1,0,0,2,8,2,1,1,0,1,8,0,0,4,2,19,2,0,1,7,2,0,4,0,24,6,13,2,2,2,9,0,0,8,2,4,0,0,0,10,5,1,1,1,1,6,0,2,9,3,0,3,0,1,0,0,2,1,6,1,3,2,0,5,1,5,3,1,3,2,0,5,1,4,0,5,0,2,0,3,1,9,13,0,1,0,2,9,0,0,1,1,1,3,0,5,2,12,0,2,0,7,4,0,2,0,2,1,1,4,0,7,4,6,3,0,0,4,2,0,1,0,8,2,1,4,0,0,2,6,0,0,0,8,1,4,3,31,25,34,48,39,44,22,42,35,34,21,62,68,41,24,34,36,48,35,38,51,30,37,10,1,16,13,5,2,5,13,8,16,17,4,18,25,7,7,11,11,20,6,6,43,3,17,35,20,7,9,6,16,19,4,18,11,9,15,23,13,14,4,16,9,14,4,22,21,3,3,7,9,5,17,16,4,15,6,12,8,7,11,17,11,10,16,3,12,11,19,8,8,3,6,3,16,18,6,9,8,26,8,15,9,10,20,8,9,10,21,7,5,3,16,6,3,16,25,16,10,8,17,7,8,19,25,7,14,11,28,16,126,27,19,30,21,5,36,20,17,16,33,17,19,27,17,16,11,27,18,21,32,32,12,32,16,13,16,21,53,55,29,20,27,18,19,27,17,8,25,31,42,25,19,21,18,32,25,18,22,39,17
16.949x13.055,75,100,52,73,49,42,37,64,4,4,2,1,8,12,10,0,9,2,2,2,5,10,1,0,2,9,1,4,4,0,0,1,2,7,6,20,0,2,2,13,1,1,1,2,1,0,0,6,2,0,1,1,1,4,1,0,6,4,4,6,1,5,7,11,1,2,18,3,5,5,2,2,2,2,4,6,0,3,0,0,2,4,4,1,2,4,9,4,1,5,1,2,0,7,11,1,8,3,1,2,2,0,7,3,1,2,1,0,2,7,1,2,1,6,0,2,1,1,1,2,11,2,1,1,2,4,1,1,2,0,0,4,1,0,0,6,1,4,3,0,6,1,0,0,7,9,0,2,4,1,0,1,11,0,1,2,0,0,13,4,1,1,0,1,2,1,3,2,5,1,0,0,4,3,1,2,0,3,3,9,0,1,4,6,11,0,1,1,10,2,0,1,3,11,3,7,10,3,2,8,0,0,5,3,2,3,0,1,13,1,1,1,1,1,9,1,7,15,6,2,1,0,4,1,1,13,3,8,1,0,1,0,4,1,0,9,1,1,0,1,9,2,3,0,8,2,3,1,2,5,5,12,0,5,0,6,12,1,0,3,2,4,6,0,2,0,6,0,2,0,3,0,0,3,1,7,0,1,6,0,3,6,7,3,0,0,0,1,0,3,2,4,0,0,1,1,0,4,6,1,0,5,12,0,7,3,16,32,25,36,41,44,20,25,12,42,21,38,70,47,25,31,22,29,14,32,47,27,26,11,4,10,10,4,4,3,7,13,17,8,5,9,12,9,4,9,8,9,1,5,28,10,15,10,15,7,4,8,13,16,3,9,9,6,18,7,9,13,4,5,12,8,4,17,15,8,7,3,9,5,12,9,3,18,6,4,3,8,12,7,5,7,9,9,15,11,3,12,7,8,8,3,13,9,6,8,10,23,5,3,5,13,6,5,3,6,3,6,8,5,2,1,10,21,13,9,13,7,14,10,5,2,5,8,3,13,11,10,135,34,16,40,17,12,38,15,18,4,23,21,21,21,19,6,21,16,14,10,24,25,35,24,14,13,9,36,34,28,20,15,25,22,8,29,13,16,33,26,16,21,31,15,8,11,9,19,22,23,7
16.942x15.088,67,85,70,58,64,67,57,71,4,9,2,0,9,2,3,8,4,1,4,2,14,11,1,1,3,2,0,2,5,3,11,1,0,3,2,2,0,2,0,12,4,1,2,3,2,0,1,3,2,2,1,0,3,0,5,0,18,7,4,11,0,1,8,9,1,1,14,6,9,0,3,4,5,1,2,5,0,1,1,1,1,8,4,6,0,5,3,2,0,5,2,0,2,10,7,2,20,1,2,1,0,0,4,3,2,2,0,4,7,5,3,3,0,2,2,8,1,1,2,1,9,0,16,2,0,3,0,0,0,0,2,4,0,2,1,1,5,10,0,1,10,3,1,3,3,4,0,0,1,1,1,6,11,0,0,2,1,3,8,5,5,2,1,3,7,0,8,2,11,0,2,0,4,17,1,1,1,3,0,4,0,1,0,3,4,0,0,2,9,2,0,1,0,28,4,5,1,5,3,10,0,2,3,0,5,0,1,1,20,0,0,1,0,1,4,0,4,4,1,0,4,0,2,2,0,4,1,5,0,1,3,0,4,1,0,2,5,2,0,4,6,0,4,0,6,0,1,1,8,7,9,3,0,2,1,4,8,1,1,8,3,10,4,0,2,1,3,1,1,0,5,0,1,4,1,5,1,1,0,1,5,24,3,6,4,1,3,3,3,6,4,4,0,1,2,1,0,5,10,1,0,11,11,0,1,1,10,23,37,32,55,34,43,36,32,58,41,50,50,34,29,39,43,65,39,28,32,28,56,14,8,26,15,3,6,5,6,9,40,9,2,5,15,14,8,19,7,16,2,8,17,2,14,7,27,10,6,8,17,6,6,18,14,15,27,8,9,12,9,3,9,14,2,13,27,3,11,12,9,3,12,5,7,24,7,9,14,8,20,14,4,10,11,2,8,10,3,1,8,6,18,11,12,13,4,14,10,21,12,7,9,13,1,7,12,12,22,15,5,8,7,3,6,11,10,16,17,19,11,4,11,16,8,12,19,15,10,17,160,43,44,42,16,10,31,27,25,21,19,24,28,39,22,19,17,12,18,19,21,30,27,34,6,23,18,0,20,11,17,18,24,19,19,26,20,34,26,31,32,30,17,27,23,25,20,24,41,27,20
16.941x17.065,163,174,53,131,69,114,108,95,6,6,18,6,19,31,27,5,2,9,7,12,19,10,2,3,31,6,11,9,2,4,14,5,12,10,7,20,1,9,4,27,0,7,1,13,7,3,1,8,3,9,10,3,10,2,4,3,15,2,1,22,0,17,20,7,4,2,17,6,28,4,13,3,6,3,7,20,0,2,6,8,1,13,10,8,5,10,18,7,0,2,1,10,1,9,20,0,16,5,7,1,0,2,8,3,1,3,1,1,1,11,3,11,5,6,2,10,0,4,8,4,21,2,2,5,1,10,4,0,2,2,3,6,1,5,0,17,0,12,1,2,3,11,6,8,6,2,2,3,8,4,4,8,28,0,5,5,1,0,8,5,0,2,0,2,11,1,2,7,4,2,2,2,27,18,3,1,1,8,1,6,8,0,4,9,8,1,0,5,11,1,2,1,0,23,6,10,3,6,2,9,0,0,8,4,8,2,3,1,12,10,2,3,5,0,7,7,7,17,0,5,2,1,7,5,0,7,3,8,4,3,1,0,4,7,4,2,6,1,1,1,15,0,8,1,4,2,5,3,10,3,8,2,1,4,0,6,9,6,1,5,2,10,0,0,0,4,2,1,1,0,4,1,0,10,4,7,4,3,2,0,9,12,5,1,1,1,1,1,0,2,0,7,1,2,3,1,1,3,9,0,0,2,13,2,8,2,24,52,38,33,93,47,39,67,56,81,39,57,88,31,46,34,67,52,56,20,56,28,52,24,5,11,8,3,8,3,6,2,47,3,5,4,7,8,5,23,27,28,9,10,15,4,34,5,27,9,5,4,14,14,4,24,5,9,14,6,4,11,9,15,2,21,5,20,19,20,13,4,18,2,13,13,13,54,2,24,8,13,24,12,7,13,24,16,25,9,13,6,5,8,11,12,27,22,0,11,15,26,8,7,26,11,8,8,8,6,35,13,6,12,3,12,3,24,17,5,23,24,11,8,17,16,31,37,26,15,22,21,316,66,138,35,60,12,73,74,19,18,30,36,59,22,29,21,17,11,36,31,29,21,48,26,10,43,20,5,31,24,36,35,27,45,17,36,43,34,19,34,32,21,29,28,33,27,16,36,36,27,23
16.919x16.055,89,140,68,93,60,78,111,72,2,10,8,3,8,4,12,7,5,0,6,3,7,8,0,3,2,3,3,3,5,0,3,2,1,14,5,9,1,16,3,14,3,1,1,6,4,2,3,23,3,4,5,1,3,2,0,2,15,5,2,17,0,7,13,9,7,0,25,2,13,3,1,1,10,0,2,16,0,0,0,0,3,3,3,4,1,2,9,6,2,5,0,1,0,13,16,0,18,2,0,1,0,2,2,6,2,1,2,3,6,5,1,9,0,7,0,7,2,1,0,1,11,0,4,5,4,5,3,0,2,0,3,2,0,6,1,8,5,12,1,1,6,6,2,4,1,2,1,1,3,4,0,4,17,2,5,3,3,1,6,7,2,2,0,3,6,0,8,2,9,2,1,0,8,15,1,1,0,2,0,7,1,4,1,5,9,0,0,1,10,0,0,11,2,24,1,4,4,10,2,10,0,0,3,3,4,1,0,2,10,2,1,0,3,0,4,1,5,13,2,0,2,0,1,0,0,7,3,7,1,3,2,0,6,0,3,3,3,1,0,0,11,2,15,0,5,2,4,0,2,3,12,12,3,8,1,5,12,0,0,1,1,12,3,1,2,2,0,0,4,3,7,1,0,7,1,5,1,2,3,0,10,10,5,2,1,2,3,11,3,1,0,4,0,0,4,1,2,5,13,14,0,9,13,0,5,0,22,30,43,49,52,30,56,66,39,52,41,61,44,18,38,43,42,42,45,33,46,28,55,5,2,12,9,4,4,6,4,4,43,8,2,0,15,10,4,16,25,13,8,7,18,13,33,7,19,20,9,7,18,19,6,13,12,14,16,7,10,14,9,5,8,23,20,11,18,6,8,8,13,8,22,17,14,61,14,16,9,6,28,17,12,10,12,11,20,9,12,6,8,7,9,17,18,19,5,27,13,17,16,2,12,18,16,10,22,16,12,16,13,3,9,3,5,23,17,15,18,8,13,10,9,10,26,48,20,12,12,20,146,55,49,45,21,9,44,29,30,20,28,38,43,17,27,14,21,24,23,35,20,27,22,33,13,17,16,6,23,25,41,22,27,21,14,40,43,22,28,20,21,40,30,30,38,45,23,45,29,22,30
9.862x9.024,52,49,27,17,48,41,21,41,0,8,4,2,2,2,8,7,6,0,2,3,2,3,2,0,6,2,2,3,2,0,1,2,0,1,1,1,1,6,0,7,1,1,1,1,2,1,0,5,1,2,4,0,2,2,0,0,6,0,0,7,0,1,5,2,1,1,2,2,4,4,1,1,2,4,0,1,0,1,1,0,0,1,2,6,0,4,3,2,1,3,0,0,0,3,8,1,10,3,0,3,0,0,2,4,1,2,0,3,4,14,2,3,2,1,0,1,3,2,2,0,8,0,1,0,1,1,2,0,1,1,1,0,0,2,0,2,1,2,2,0,3,5,3,0,1,2,0,0,1,2,0,0,3,0,0,2,1,0,3,8,0,1,0,0,4,0,6,0,3,1,0,0,5,5,0,2,0,0,0,6,0,2,2,0,2,0,0,0,6,0,0,0,0,8,3,6,3,3,0,7,0,0,3,3,3,3,1,1,1,0,0,0,0,1,3,0,1,4,1,0,3,0,1,2,3,1,0,1,0,0,1,1,6,2,2,2,0,2,0,3,4,2,1,2,3,0,2,1,1,3,6,3,0,2,3,2,8,0,0,0,2,1,3,0,1,3,2,0,3,0,1,0,0,2,1,1,0,2,3,0,1,3,3,5,1,1,0,1,0,0,1,2,0,0,0,0,0,2,4,0,0,3,0,0,2,0,20,20,15,22,27,21,13,24,12,32,21,15,36,23,11,22,30,24,21,16,15,20,16,3,4,4,9,4,7,2,1,5,8,3,3,3,9,5,1,10,5,11,1,4,8,3,10,14,9,6,1,7,8,9,1,9,6,9,1,4,7,14,4,6,3,3,4,10,7,3,5,9,8,3,9,6,1,6,1,4,4,6,7,5,7,3,3,3,11,13,4,4,7,8,0,3,12,7,2,8,6,13,5,5,5,2,3,6,5,8,10,9,7,5,1,2,2,14,5,6,6,5,2,7,3,7,6,5,4,8,10,8,113,37,19,42,15,6,19,8,11,13,6,10,14,6,10,7,12,11,5,8,13,8,11,18,9,8,7,3,8,8,9,19,11,11,9,18,8,18,8,13,5,24,11,13,12,17,12,10,15,9,6
12.08x9.115,83,83,49,41,60,51,44,54,7,18,11,13,14,6,20,13,21,10,6,8,10,16,6,3,8,4,5,2,4,2,13,11,2,3,4,7,2,19,10,8,6,8,13,4,5,11,7,9,2,8,4,3,6,2,8,3,12,6,2,4,0,7,6,12,4,4,12,10,5,2,11,6,17,7,9,12,0,2,5,4,1,13,3,3,2,16,6,4,2,1,1,7,1,15,12,5,17,4,3,0,6,0,4,5,5,3,1,3,3,4,3,3,3,6,1,8,5,4,2,6,10,0,5,3,1,6,2,3,2,1,6,2,1,6,3,5,3,8,4,3,5,5,1,0,0,4,0,1,1,2,0,0,8,2,2,4,0,2,12,7,3,6,0,1,2,1,4,0,3,1,2,4,5,6,1,4,4,2,0,4,4,0,3,2,6,2,2,2,11,0,0,2,1,10,1,2,6,0,1,6,1,0,4,1,5,0,0,1,7,1,0,0,3,0,6,0,3,10,0,1,1,0,2,0,0,7,2,5,2,2,2,0,6,1,2,1,0,6,1,1,7,2,3,3,1,2,4,2,2,3,7,2,1,6,0,4,6,2,0,1,2,7,3,0,3,1,5,0,4,0,4,3,3,4,2,5,1,2,3,2,5,5,3,1,1,0,1,1,1,0,4,4,0,1,6,1,1,7,10,0,0,1,8,2,3,3,16,28,14,28,28,24,15,36,21,69,15,29,72,16,25,31,47,40,34,26,25,19,31,30,4,11,5,1,2,3,7,14,13,3,2,2,14,8,3,22,17,25,4,5,12,2,15,16,24,9,4,5,5,5,4,5,3,13,9,6,5,11,8,10,14,7,4,19,9,3,10,7,8,6,17,11,8,9,4,6,5,4,9,11,3,7,8,6,15,14,8,10,9,5,13,6,20,5,2,4,4,8,10,3,4,8,3,5,12,13,10,6,10,7,4,2,9,17,10,8,11,15,5,9,9,6,10,10,23,13,13,19,214,72,55,49,24,13,49,28,14,18,13,28,27,14,7,10,17,25,10,12,18,18,20,22,20,6,15,5,30,13,12,9,8,11,18,31,11,13,36,15,12,23,23,18,15,13,13,22,18,28,16
