,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,lengthscale,BIC,pval,q value
Nrf1,-247.5930381,-249.4876723,1.894634125,1.355058572,,0.168680163,1
Zbtb5,-264.082393,-264.3930668,0.310673737,3.554382368,,0.577267048,1
Ccnl1,-469.4740392,-470.1798013,0.705762047,1.588039714,,0.40085431,1
Lrrfip1,-426.2841257,-426.3735563,0.089430525,4.231451902,,0.764902378,1
Bbs1,-399.7431683,-399.7516121,0.00844384,1.622220146,,0.926785142,1
Lix1,-615.7138323,-615.7138276,-4.74E-06,0.000993977,,1,1
Whrn,-344.1717807,-344.2797511,0.107970374,0.073191142,,0.742466774,1
Ate1,-506.2723241,-506.2723229,-1.26E-06,0.223349496,,1,1
Ubac1,-519.8508834,-519.8977241,0.046840637,0.796212344,,0.828654939,1
Rab34,-404.3824925,-404.3824869,-5.60E-06,0.000319957,,1,1
Nap1l1,-707.4985614,-707.4985554,-5.99E-06,2.116031397,,1,1
Srgap3,-646.002494,-646.2493311,0.246837061,1.26E-06,,0.619311059,1
Slc1a3,-1118.958148,-1123.88068,4.922531793,43.26938799,,0.026508643,1
Polr3k,-360.3116709,-360.3116681,-2.83E-06,5.75E-05,,1,1
Inpp5f,-637.3729146,-638.0671879,0.694273332,1.666903999,,0.404714654,1
Ndufaf6,-215.2472892,-215.2942811,0.046991965,1.783337196,,0.828382682,1
Atp5j2,-671.0552479,-671.0548548,-0.000393085,3.054080847,,1,1
Tnpo2,-515.8332429,-516.4714461,0.638203262,0.61029146,,0.424362172,1
2010300C02Rik,-682.5342174,-683.2271213,0.692903978,0.444861682,,0.405178383,1
B3gat3,-533.7311964,-534.1835656,0.452369149,1.275253155,,0.501212025,1
Commd5,-219.2351796,-219.2351784,-1.13E-06,2.63E-05,,1,1
Ints3,-444.4662292,-444.466227,-2.25E-06,6.73E-05,,1,1
Rbm6,-426.5618885,-426.5963096,0.034421146,0.12828107,,0.852813848,1
Rnpepl1,-378.4434969,-378.5063229,0.062826002,1.400894145,,0.802083827,1
Sox2,-597.0031875,-597.0031833,-4.25E-06,0.001313578,,1,1
Cbx5,-626.1787878,-626.3535739,0.174786105,4.79E-10,,0.675892808,1
Poldip3,-478.8823202,-479.0761431,0.193822903,0.00037339,,0.659753713,1
Mapre1,-610.4451163,-610.4450978,-1.85E-05,0.001083086,,1,1
Luc7l3,-642.7733706,-643.1293926,0.35602196,0.680138551,,0.550723881,1
Pi4kb,-163.557267,-163.6085856,0.051318624,0.00597682,,0.820784451,1
Mink1,-514.0682607,-514.0682637,3.00E-06,0.049506314,,0.998618483,1
Resp18,-418.6468637,-418.6468621,-1.60E-06,0.013897792,,1,1
Rnf10,-567.2587503,-567.3667158,0.10796549,2.319681675,,0.742472392,1
Eef1a1,-1110.651068,-1116.379854,5.728786,82.4716429,,0.016689016,1
Mdfic,-152.5789407,-152.5791329,0.000192179,0.406334389,,0.988939379,1
Rhbdf1,-319.1119716,-319.1204832,0.008511616,0.019625009,,0.926492724,1
Zfp605,-42.71313757,-42.71313728,-2.90E-07,7.688431749,,1,1
Zbtb14,-298.6346018,-298.6356134,0.001011561,0.031519634,,0.974627526,1
Sh3gl2,-810.6312249,-815.2192402,4.588015269,2.567646014,,0.032196276,1
Fam213a,-746.0858994,-747.4390489,1.353149501,0.358707821,,0.244728271,1
Dbn1,-643.4071393,-643.4401731,0.033033769,1.4477485,,0.855777399,1
Cldn5,-599.2530099,-603.0945768,3.841566844,0.293970371,,0.049996779,1
Fam193b,-409.9151479,-409.9151467,-1.20E-06,0.47982568,,1,1
Grik5,-679.9230349,-680.004844,0.081809148,0.661423698,,0.774860518,1
Pip5k1a,-124.3662565,-124.729875,0.36361851,3.178459174,,0.546503443,1
Sh3bgrl,-714.0897504,-714.0899169,0.00016644,0.252455982,,0.989706655,1
Cwc25,-229.929407,-229.9556279,0.026220943,0.006928818,,0.871361906,1
Camkk1,-507.9416755,-507.9575248,0.015849315,1.762722472,,0.899815783,1
Chn2,-604.5384517,-604.5833795,0.044927772,0.160869301,,0.832136896,1
Dhh,-104.4905653,-104.5628352,0.072269875,0.934993425,,0.788060067,1
Map3k11,-264.4342479,-264.4342459,-1.94E-06,4.69E-05,,1,1
Zmynd11,-687.3105163,-687.3106765,0.000160201,0.256188445,,0.989901398,1
Snx13,-555.930653,-556.5912381,0.660585036,3.066203574,,0.41635348,1
Ptbp3,-438.7449682,-439.1727187,0.427750483,0.853516284,,0.513094821,1
Secisbp2l,-624.2248859,-624.2974813,0.072595387,1.460073613,,0.787594716,1
